gene,mean_formula,var_formula
OPRD1,0.084123505,0.088360002
SRSF4,0.155162503,0.167566309
MECR,0.070033089,0.070523269
PLEKHM2,0.074261525,0.078553854
SDHB,0.032288772,0.033486267
IGSF21,0.050502662,0.053133865
KIF17,0.038444705,0.038969486
ECE1,0.264931623,0.279024472
SYF2,0.709638009,0.71280009
RSRP1,0.009786965,0.010296439
STMN1,0.792348566,0.622411104
MAN1C1,0.284943539,0.333778902
DHDDS,0.028919825,0.03006782
ARID1A,0.297673619,0.283485929
STX12,0.02703173,0.029060481
TAF12,0.042328513,0.043926063
HNRNPR,0.025196277,0.023847261
DNAJC8,0.62571864,0.620658232
AHDC1,0.434351937,0.427250711
EMC1,0.525428845,0.508732475
UBR4,0.007440785,0.008525148
HP1BP3,0.024648938,0.02288984
ATP5IF1,0.086148614,0.097807357
EPHB2,0.088489666,0.091160942
SRRM1,0.140631189,0.147815207
SH3BGRL3,0.137857061,0.148783575
RPL11,0.497104085,0.475044381
WDTC1,0.614626052,0.653357874
EXTL1,0.043411721,0.045117108
EYA3,0.789756576,0.74910952
WASF2,0.067239339,0.070695622
NBL1,0.525408464,0.562000255
PINK1,0.446368502,0.430026614
EPB41,0.035197131,0.034784644
ATP13A2,0.008298808,0.008792583
GMEB1,0.309992126,0.31646913
CAMK2N1,0.046848312,0.041010355
LUZP1,0.000414364,0.000417702
OTUD3,0.135274008,0.160782608
TRNAU1AP,0.089876595,0.094938806
TMEM50A,0.679064589,0.684259619
TMEM222,0.923634862,0.896736078
SRSF10,0.291036661,0.305348355
DDI2,0.862039754,0.81834778
YTHDF2,0.491681799,0.475107134
HMGN2,0.984559167,0.940000183
PHACTR4,0.124378196,0.135722131
MACO1,0.903490631,0.856680925
CROCCP2,0.045656323,0.050609155
NBPF1,0.432344588,0.409624079
EMC1-AS1,0.536536259,0.529266638
_ENSG00000233478,0.197802078,0.201353478
UQCRHL,0.987043812,0.986424088
_ENSG00000235912,0.137232936,0.132065014
ELOA-AS1,0.669953185,0.687140306
_ENSG00000240553,0.148575742,0.148726081
_ENSG00000280114,0.697446309,0.681476221
AK2,0.004556949,0.004691667
SCMH1,0.973043019,0.978204104
NCDN,0.239601953,0.221390732
KPNA6,0.234899471,0.244846378
TRIT1,0.411554213,0.42997655
TRAPPC3,0.069831879,0.072700823
THRAP3,0.242826839,0.263003921
SNRNP40,0.010838933,0.011840537
KDM4A,0.479555001,0.507537748
NFYC,0.378486282,0.341219851
TESK2,0.935436648,0.824397198
EIF2B3,0.108302657,0.112393744
SMAP2,0.188478768,0.177460526
PPIE,0.8739501,0.865667484
ZMPSTE24,0.233665938,0.240497819
EIF3I,0.807376236,0.805697777
NKAIN1,0.501258915,0.53446876
COL16A1,0.009465393,0.010090926
POMGNT1,0.847527292,0.859971315
MAST2,0.05444209,0.058325542
AGO1,0.065219449,0.068756165
S100PBP,0.889739344,0.835008169
DLGAP3,0.478081624,0.473224639
SFPQ,0.504204144,0.505961262
MAP7D1,0.368980528,0.387035106
OSCP1,0.1251409,0.129306054
HPCAL4,0.047248884,0.045418427
RLF,0.002154284,0.002326752
RIMS3,0.154754858,0.149770222
EBNA1BP2,0.070422139,0.071796004
IPO13,0.664181133,0.683350885
ATP6V0B,0.232796906,0.24783547
B4GALT2,0.715375467,0.731352618
ERI3,0.869742291,0.898905717
PTCH2,0.016639808,0.017618446
PRDX1,0.707536008,0.725535546
FAAH,0.182382189,0.177098768
NSUN4,0.19691059,0.206729543
ADGRB2,0.161916313,0.18448904
ZCCHC17,0.618801935,0.639882754
FABP3,0.307998093,0.305896095
KHDRBS1,0.043211063,0.040023371
TMEM39B,0.449700968,0.449567644
CSMD2,0.499399496,0.495408716
HPCA,0.387234018,0.379818482
PSMB2,0.549214254,0.529412156
AGO3,0.089319969,0.10016808
ST3GAL3,0.217927017,0.237847653
HIVEP3,0.707990102,0.720408205
MACF1,0.070584482,0.074201241
CAP1,0.619047983,0.60886141
PPT1,0.987375122,0.991078378
LRRC41,0.181077503,0.190849918
NASP,0.184483415,0.193193476
PUM1,0.002549239,0.002507987
YARS1,0.309915506,0.321221744
PHC2,0.395112402,0.422971988
AGO4,0.05146907,0.057342285
C1orf216,0.516764915,0.526713378
KIAA0319L,0.047398126,0.053079049
AZIN2,0.029698824,0.032094203
RPS8,0.549024587,0.523742245
PTPRF,0.383204652,0.379493729
ZMYM4,0.477699556,0.440586492
RHBDL2,0.116828511,0.117334923
CCDC24,0.011685666,0.012404584
GPBP1L1,0.29446948,0.264196167
BSDC1,0.042175501,0.037683887
ZNF362,0.196767114,0.18788404
ZSWIM5,0.498898116,0.562595638
SDC3,0.218585226,0.21264496
PEF1,0.336460808,0.332005812
SYNC,0.314058432,0.31423059
RBBP4,0.34524716,0.323166174
SMIM12,0.236662324,0.246700526
MEAF6,0.90797466,0.894635575
NDUFS5,0.762277747,0.766132675
UQCRH,0.940249842,0.88019182
AKIRIN1,0.158954437,0.163781811
ZBTB8OS,0.688344398,0.65739426
RIMKLA,0.088447613,0.089933089
DMAP1,0.417019214,0.429557083
EPHA10,0.049251588,0.051069152
SF3A3,0.75865523,0.738067578
CCDC30,0.58562287,0.596657229
RNF220,0.252383809,0.225171828
MTF1,0.519968183,0.531174863
STK40,0.01158905,0.011809109
SZT2,0.009719471,0.010399046
ARMH1,0.176400593,0.175834891
FOXJ3,0.370119432,0.333167765
INPP5B,0.059376383,0.062806238
_ENSG00000228436,0.30606803,0.331725623
_ENSG00000230955,0.518427522,0.529149267
_ENSG00000238287,0.413196851,0.425514084
LRRC7,0.02353776,0.028158097
PTGER3,0.658915744,0.645514015
NDC1,0.451575556,0.473302745
LRRC40,0.295494066,0.270591477
NRDC,0.028162739,0.031582513
MKNK1,0.140891481,0.124817701
HSPB11,0.692994095,0.701106457
EPS15,0.910491517,0.929640644
ALG6,0.037863276,0.039428658
DHCR24,0.69567009,0.663873029
SCP2,0.671690808,0.63255817
TMEM59,0.948163939,0.966624737
DOCK7,0.083761436,0.071465607
DNAJC6,0.054670007,0.048266453
LEPR,0.351347345,0.325370796
SLC35D1,0.013427325,0.012832143
SRSF11,0.076991611,0.093198418
OSBPL9,0.768309561,0.731407994
TXNDC12,0.220582848,0.231101865
ANKRD13C,0.535122555,0.578757333
SGIP1,0.504817442,0.466084871
ECHDC2,0.05708463,0.061968605
RNF11,0.269313725,0.259506906
ATPAF1,0.146212262,0.137358985
ATG4C,0.096449889,0.086052423
SPATA6,0.009900645,0.009643578
ZRANB2,0.638271095,0.605736395
PATJ,0.581078596,0.587669593
HOOK1,0.219335214,0.210910426
BTF3L4,0.63896893,0.618976009
TUT4,0.537762844,0.583851343
ITGB3BP,0.056616764,0.053861706
SERBP1,0.632104371,0.61911277
WDR78,0.098092116,0.089562329
ZFYVE9,0.016557883,0.018692822
LRP8,0.016381728,0.017947575
SSBP3,0.175463645,0.164761735
CACHD1,0.811337318,0.750173405
EFCAB14,0.008074308,0.007575624
CMPK1,0.49942667,0.474197322
ELAVL4,0.193067928,0.18686671
ZYG11B,0.086394712,0.082814459
MAGOH,0.463200924,0.477427539
ACOT11,0.32554321,0.33900757
USP24,0.350364198,0.33645308
PRKAA2,0.001242641,0.001128934
AK4,0.031828399,0.030682696
JAK1,0.438074831,0.474762037
RAVER2,0.172050722,0.138357888
NFIA,0.452252292,0.188669545
MYSM1,0.000896582,0.0010973
TM2D1,0.954881544,0.932021186
NEGR1,0.071066681,0.061604357
FGGY,0.285704918,0.296920625
DAB1,0.427516071,0.398438267
GLIS1,0.47627549,0.492410864
JUN,0.6425148,0.62410433
PDE4B,0.252086624,0.302226807
FAF1,0.580275752,0.617561877
AGBL4,0.944834942,0.858040084
CYP4X1,0.407989763,0.385938996
MIER1,0.05263902,0.049016036
EFCAB7,0.504434582,0.478454148
LINC01748,0.276181893,0.298298849
_ENSG00000229294,0.094803571,0.094155169
ZRANB2-AS2,0.279430283,0.296448477
GCLM,0.650292299,0.623722231
_ENSG00000036549,0.339991548,0.306113994
MSH4,0.089667346,0.085715126
COL11A1,0.028665084,0.041180432
PKN2,0.003032021,0.003349579
EVI5,0.869879163,0.800894307
USP33,0.097717645,0.107158556
SH3GLB1,0.099267079,0.089227518
CDC7,0.432864426,0.466390771
PALMD,0.100883961,0.092422388
ACADM,0.570418207,0.636658926
ST6GALNAC5,0.292025661,0.280323158
ADGRL2,0.037342261,0.069309436
SSX2IP,0.030188833,0.028559259
ZNHIT6,0.339695285,0.341379113
ABCD3,0.509658492,0.480244642
PTBP2,0.067163937,0.059787332
PLPPR5,0.001641077,0.001712634
PLPPR4,0.010156498,0.009374449
SLC35A3,0.355735094,0.318768365
OLFM3,0.46562726,0.30179367
RPL5,0.320238098,0.309104598
ODF2L,0.17907967,0.163634852
TRMT13,0.391254404,0.374063952
ZNF644,0.307688964,0.341094
CCDC18,0.490373154,0.509243285
RPAP2,0.083947242,0.09455475
BCAR3,0.198811489,0.20327833
TTLL7,0.323381305,0.363274169
FNBP1L,0.350504054,0.286308296
KYAT3,0.203493319,0.226789108
GTF2B,0.058400659,0.057738819
GIPC2,0.186963199,0.186186651
ARHGAP29,0.123685697,0.130804478
SLC44A5,0.831584369,0.706683748
RPL7P9,0.459799152,0.42118046
DBT,0.025984031,0.023855156
RTCA,0.280173845,0.29776354
PRKACB,0.035245278,0.032479405
PIGK,0.010816324,0.009472907
LMO4,0.632202905,0.628945622
MTF2,0.09887278,0.083177546
DDAH1,0.024532078,0.012986256
HS2ST1,0.467638327,0.488708515
AK5,0.102131828,0.066294436
DIPK1A,0.105732947,0.092695454
MFSD14A,0.359877358,0.342581839
FUBP1,0.041687334,0.040268993
TYW3,0.718972559,0.69206114
SNX7,0.051687351,0.045528619
NTNG1,0.556517049,0.791092541
C1orf52,0.948655614,0.957255344
ZNF326,0.12731457,0.140586406
AGL,0.417044356,0.469318003
EXTL2,0.099496917,0.103065475
SLC30A7,0.205303964,0.196016934
COL24A1,0.01206995,0.013614763
EPHX4,0.244059062,0.237531649
ALG14,0.748032234,0.778968926
GLMN,0.1619373,0.172286627
ERICH3,0.005317592,0.004645969
MIGA1,0.377264935,0.366750465
SELENOF,0.10496485,0.097108121
ST6GALNAC3,0.080964497,0.06395988
RNPC3,0.224147766,0.232929918
DPYD,0.035282851,0.039034544
BTBD8,0.874536638,0.852901663
LRRC8B,0.971453416,0.901921276
CCDC18-AS1,0.343292087,0.315732073
_ENSG00000224550,0.459377318,0.422111983
MIR137HG,0.011960159,0.015414865
_ENSG00000232825,0.445535026,0.362206792
DPYD-AS1,0.733620061,0.771612062
LINC01725,0.92124821,0.929882846
LINC02609,0.32097846,0.363820397
CLCA4-AS1,0.811571422,0.838675061
PKN2-AS1,0.95529228,0.992366999
AMY2B,0.400292562,0.377886275
_ENSG00000259946,0.015139253,0.014896891
ST7L,0.896574116,0.837880044
CSDE1,0.084945382,0.081100696
SARS1,0.654117415,0.650400034
GNAI3,0.365301089,0.341987374
RSBN1,0.010757009,0.010556413
MAGI3,0.42308512,0.462265827
WDR47,0.412152836,0.400582147
STXBP3,0.123756483,0.115083405
KIAA1324,0.252549203,0.263921654
AMPD2,0.367661375,0.346257281
ATP5PB,0.909771655,0.897304531
RAP1A,0.225142306,0.18997631
CAPZA1,0.154933355,0.14156336
BCAS2,0.235724882,0.201681016
PHTF1,0.009295096,0.00985678
TTF2,0.008944634,0.00916205
GPR89A,0.128946903,0.132263938
LRIF1,0.093025117,0.088009102
GPSM2,0.128287432,0.127077101
CHD1L,0.034828216,0.0380472
PEX11B,0.349638555,0.357092091
PRPF38B,0.188039378,0.188109533
PSRC1,0.206209808,0.216899813
SORT1,0.091194546,0.081594158
LAMTOR5,0.779367233,0.762761389
CEPT1,0.004999325,0.004320791
IGSF3,0.006317989,0.005391009
ZNF697,0.677171214,0.666100574
CTTNBP2NL,0.095999159,0.111590979
STRIP1,0.487941793,0.472122268
PSMA5,0.182735584,0.18355939
CELSR2,0.434474413,0.417513195
FAM102B,0.645135226,0.612293241
HIPK1,0.073513198,0.070743926
SLC22A15,0.999856584,0.958400076
ATP1A1,0.789632148,0.669916214
AHCYL1,0.025181871,0.023482123
KCND3,0.972362611,0.969959789
SRGAP2C,0.255731964,0.273640915
KCNA2,0.584515022,0.586447209
SRGAP2B,0.061227919,0.065779423
GDAP2,0.653642407,0.610760469
SLC6A17,0.606190108,0.541609857
TRIM33,0.752388518,0.706936102
INKA2,0.994689372,0.993906571
MAN1A2,0.224564377,0.209608988
LRIG2,0.101668799,0.110667094
_ENSG00000223804,0.409127516,0.356433443
_ENSG00000224363,0.258146484,0.25055129
LAMTOR5-AS1,0.898760934,0.923780985
SLC16A1-AS1,0.374157749,0.389664786
LINC02798,0.770260235,0.762213814
_ENSG00000227193,0.744277397,0.747914873
WARS2-AS1,0.957630907,0.912311656
LRIG2-DT_ENSG00000238198,0.591038596,0.59938247
RBM8A,0.420048196,0.412794811
RNF115,0.945114255,0.98992635
SEC22B,0.02236128,0.021220636
NBPF15,0.527531869,0.535011843
NBPF12,0.96121506,0.992062693
LINC01145,0.119290736,0.128442695
_ENSG00000274642,0.21134188,0.203891307
_ENSG00000275131,0.036325273,0.036084447
HYDIN2,0.68140116,0.723666567
SCAMP3_ENSG00000116521,0.264981776,0.272736414
ASH1L,0.633735998,0.700676673
GON4L,0.024948395,0.026692754
ARHGEF2,0.608305254,0.623597753
MEF2D,0.679438223,0.661443597
PRPF3,0.088044002,0.092302961
C1orf61,0.34359507,0.361748231
DAP3,0.073644476,0.07723852
KHDC4,0.034745106,0.036382006
ARHGEF11,0.18816269,0.198880659
SYT11,0.302246757,0.32788531
VPS45,0.400909076,0.45419698
PRCC,0.634011648,0.615552671
ISG20L2,0.031054396,0.031557786
HDGF,0.282509542,0.264947186
SNX27,0.005655132,0.005168201
SETDB1,0.227050819,0.238913474
PI4KB,0.449844681,0.418944816
PIP5K1A,0.352137806,0.37638734
ENSA,0.494074595,0.470622622
ARNT,0.421074291,0.447198427
POGZ,0.094996125,0.088931899
GOLPH3L,0.003795052,0.003538751
GABPB2,0.913846194,0.941980518
ATP8B2,0.09453047,0.095903224
JTB,0.14996892,0.154576936
TPM3,0.229791811,0.236313718
NUP210L,0.293843342,0.297219706
UBAP2L,0.258482696,0.251681328
HAX1,0.718342832,0.726040058
KCNN3,0.59644799,0.591623538
C1orf43,0.722322634,0.727210745
GATAD2B_ENSG00000143614,0.52057697,0.535664201
INTS3_ENSG00000143624,0.155966897,0.150433479
SV2A,0.275978475,0.283278488
PSMD4,0.886860859,0.901383332
PSMB4,0.668330065,0.659954335
CELF3,0.682524078,0.663018045
THEM4,0.006921545,0.00720617
CHTOP,0.993898358,0.964882736
ADAR,0.074999097,0.068630877
FDPS,0.041139815,0.042811345
RUSC1,0.843205606,0.829196128
RPRD2,0.942705409,0.903755007
SCNM1,0.385953632,0.389903197
YY1AP1,0.137427496,0.141120623
TRIM46,0.019428784,0.020071708
CCT3,0.48954633,0.484026539
SSR2,0.811068789,0.81389035
PDE4DIP,0.044638573,0.042782201
GPR89B,0.293601192,0.304506463
SEMA4A,0.356857213,0.350999613
CDC42SE1,0.092523471,0.097098877
S100A6,0.058879846,0.060799243
DENND4B,0.42320766,0.443458475
SMG5,0.075072898,0.078154464
ADAMTSL4-AS1,0.05741123,0.058572882
MLLT11,0.80002467,0.843474946
_ENSG00000215861,0.676272779,0.696215108
_ENSG00000227733,0.837058583,0.893694952
FLG-AS1,0.916639573,0.846281147
NBPF11,0.376581055,0.346015688
OTUD7B,0.169808547,0.184154027
MRPS21,0.997981335,0.995002804
NBPF9,0.81841791,0.853833672
NBPF19,0.008106556,0.007389398
LINC01138,0.546676338,0.567332124
_ENSG00000274265,0.740373101,0.763363116
LINC00869,0.419369427,0.400095821
SCYL3,0.579691586,0.609092231
C1orf112,0.386004036,0.395117369
KIFAP3,0.146598113,0.133354479
KLHL20,0.142088674,0.126644684
SUCO,0.831440524,0.820861748
TNR,0.516254658,0.52222306
CACYBP,0.86581441,0.855385267
RGS4,0.312204483,0.308579352
BLZF1,0.04949847,0.046045907
PRRC2C,0.442528748,0.445924977
VAMP4,0.069060053,0.065408269
ATF6,0.022774353,0.020647789
COPA,0.059260538,0.052129133
DCAF8,0.746067813,0.730105471
PIGC,0.201317618,0.203354776
RC3H1,0.725837377,0.703107407
ATP1B1,0.363336433,0.443825227
TIPRL,0.482801499,0.462270168
NME7,0.902513682,0.844686007
MPC2,0.261012926,0.25578698
CREG1,0.612924389,0.615424886
DCAF6,0.005902656,0.003932235
UCK2,0.436099343,0.415658407
TMCO1,0.568160737,0.552467169
POU2F1,0.104264545,0.095281863
ILDR2,0.499758265,0.480109247
MGST3,0.464219351,0.434332552
COP1,0.082170299,0.079314346
UFC1,0.888527218,0.899846626
SDHC,0.328000497,0.309291672
PFDN2,0.94774221,0.926533397
RABGAP1L,0.324170852,0.266533372
UHMK1,0.254520734,0.250149557
NIT1,0.235518398,0.239076311
NDUFS2,0.398113723,0.403136331
CADM3,0.682107609,0.689783179
KCNJ9,0.942801844,0.938811267
IGSF8,0.204504218,0.229227709
PEA15,0.062884532,0.057914112
PBX1,0.003960281,0.004522812
FAM78B,0.383504423,0.406688991
DNM3,0.462203743,0.449464903
MPZL1,0.060622122,0.063952797
NOS1AP,0.595071895,0.581486071
LINC00970,0.740277306,0.808255351
_ENSG00000203739,0.945535863,0.896805625
LINC02803,0.044184724,0.041067389
_ENSG00000229531,0.122895966,0.123891715
GAS5,0.876581682,0.858457499
TPR,0.457517472,0.480344426
ATP2B4,0.045776982,0.041260134
ZC3H11A,0.063929919,0.059244125
RASAL2,0.136040406,0.122948681
PPP1R12B,0.524338572,0.482716762
PAPPA2,0.094833029,0.097068174
RALGPS2,0.269700783,0.233185526
ANGPTL1,0.820201383,0.827359052
FAM20B,0.00716945,0.006767618
QSOX1,0.533872208,0.554497042
EDEM3,0.16485444,0.155750733
C1orf21,0.872746024,0.922047814
SWT1,0.050551867,0.054170358
IVNS1ABP,0.48180124,0.491832561
SMG7,0.166928763,0.159455188
PLA2G4A,0.503623107,0.463763317
RO60,0.038364222,0.03515823
UCHL5,0.655081849,0.634874939
KIF21B,0.338903639,0.343337629
TMEM9,0.339468718,0.323484585
KDM5B,0.018591232,0.018458342
KLHL12,0.199590034,0.193304694
RBBP5,0.257746122,0.244275548
CAMSAP2,0.077048549,0.068055605
RNF2,0.018224667,0.017518759
TRMT1L,0.069098294,0.063754427
DSTYK,0.182148547,0.172235327
NAV1,0.121991351,0.127922391
CDC73,0.444208739,0.399630535
TIMM17A,0.752030888,0.753372314
CRB1,0.068664786,0.058996587
STX6,0.076274001,0.079379237
DHX9,0.076557587,0.070842381
CEP350,0.211526446,0.228726321
LAMC1,0.719968477,0.783172707
ABL2,0.277569597,0.251909568
XPR1,0.501470496,0.472361415
FAM163A,0.390740642,0.377689399
RGL1,0.870705456,0.895935958
PPFIA4,0.326304228,0.381049898
PLEKHA6,0.433585587,0.43674181
ARL8A,0.994500056,0.948123742
ASTN1,0.310149933,0.299048906
NMNAT2,0.123290572,0.136435069
ODR4,0.67725515,0.723699996
ADIPOR1,0.110728763,0.107239389
BRINP3,0.05662838,0.039498992
KCNT2,0.35190777,0.302770335
ARPC5,0.35847513,0.343906156
ADORA1,0.24296221,0.257700932
NFASC,0.090812038,0.100564357
TOR1AIP2,0.000463737,0.000428574
LRRN2,0.18547234,0.194287126
ZBTB41,0.008789242,0.008497797
SNRPE,0.655058461,0.648027094
CNTN2,0.005754947,0.005443956
CACNA1E,0.077574331,0.078080024
MDM4,0.394856684,0.377732012
IPO9,0.839962797,0.791282477
COLGALT2,0.071485265,0.07142714
BRINP2,0.386994346,0.407531711
SHISA4,0.872018947,0.885319367
DENND1B,0.35990462,0.377430186
_ENSG00000225811,0.958182127,0.942999315
_ENSG00000229739,0.919157856,0.974923081
MIR181A1HG,0.751338296,0.715539109
ACBD6,0.390180961,0.362874228
_ENSG00000231767,0.502158233,0.476350419
IPO9-AS1,0.116342207,0.120690145
CAMK1G,0.41806845,0.398440712
USH2A,0.286805638,0.296635199
HHAT_ENSG00000054392,0.554939759,0.612041453
PPP2R5A,0.106231588,0.114368803
RRP15,0.089213543,0.086649329
IARS2,0.804250931,0.824015232
NUP133,0.000601374,0.000642182
NUCKS1,0.110841464,0.100357011
PLXNA2,0.438554028,0.454719233
TRAF5,0.061694555,0.075276691
GPATCH2,0.034506405,0.041592366
MARK1,0.483862764,0.431422716
CD46,0.502043416,0.470144123
RCOR3,0.211230293,0.256234653
NENF,0.183857454,0.188958971
NSL1,0.002870059,0.002708462
2-Mar,0.999301393,0.970336617
RAB3GAP2,0.355593319,0.316054629
LPGAT1,0.567522029,0.552158118
ABCB10,0.621725333,0.593616667
EPRS1,0.571163669,0.598443674
KCTD3,0.057907793,0.055467051
RPS6KC1,0.533880034,0.485732088
LYPLAL1,0.1390646,0.12818288
SYT14,0.415827555,0.368196718
KCNH1,0.298693679,0.316519738
INTS7,0.45906038,0.387743799
SMYD2,0.855036769,0.813600182
SUSD4,0.232285048,0.262817427
SNAP47,0.312214316,0.319944965
SRP9,0.255331206,0.250931072
NVL,0.03273062,0.034470042
DEGS1,0.581591837,0.588206336
FBXO28,0.073050583,0.077533352
ARF1,0.850659784,0.877614445
CNIH4,0.6407655,0.662765179
GUK1,0.030030545,0.033480165
CDC42BPA,0.367822997,0.320199802
CNIH3,0.038713154,0.040348179
C1orf35,0.008125056,0.008270083
PARP1,0.935454698,0.946323203
PTPN14,0.798905792,0.740015713
MIA3,0.872579781,0.841410135
ENAH,0.014037156,0.012041127
CCSAP,0.072968063,0.0690217
ELK4,0.90078405,0.896694066
FLVCR1,0.129804692,0.115301919
C1orf115,0.050108362,0.046076453
MRPL55,0.010844748,0.012299796
WDR26,0.040913304,0.038868422
COQ8A,0.225636337,0.209598651
RAB4A,0.132555564,0.134892526
RNF187,0.757393656,0.724857576
MFSD4A,0.161028611,0.145092964
ANGEL2,0.048792534,0.045786849
ACBD3,0.844323,0.805549326
_ENSG00000185495,0.15261547,0.148549232
DNAH14,0.914259353,0.993887735
ESRRG,0.013584588,0.023891751
SLC30A10,0.52139203,0.514873269
STUM,0.686114064,0.68993646
TATDN3,0.461678889,0.481777927
MIR29B2CHG,0.551088168,0.568334832
MORF4L1P1,0.56805533,0.556832672
SRGAP2,0.039999244,0.04393859
EIPR1,0.471084721,0.501669276
SH3YL1,0.03878139,0.038658619
ADSS2,0.928562223,0.895656424
ARID4B,0.82237934,0.861936006
OPN3,0.622663567,0.61198015
SDCCAG8_ENSG00000054282,0.326198395,0.368368965
TARBP1,0.389015767,0.385968464
ACTN2,0.631758501,0.60672013
GPR137B,0.547436318,0.56257042
ERO1B,0.13993628,0.12226881
GNPAT,0.214846751,0.218290822
LGALS8,0.390980234,0.377117245
MTR,0.782465879,0.884747694
SIPA1L2,0.121283616,0.117473043
AKT3_ENSG00000117020,0.898722408,0.785289807
HEATR1,0.381476618,0.402863083
DESI2,0.86825802,0.932151588
CHRM3,0.048107851,0.092031472
PCNX2,0.304013536,0.334589187
KCNK1,0.394491864,0.334414626
EGLN1,0.085446991,0.069315296
COG2,0.714603158,0.670177925
NTPCR,0.528787209,0.508617354
GALNT2,0.152316027,0.15625094
TTC13,0.414310166,0.362052252
SCCPDH,0.350315711,0.367270904
LYST,0.321777746,0.28705626
MAP3K21,0.616044046,0.591405398
CEP170_ENSG00000143702,0.099608727,0.090703415
ACP1,0.919156112,0.913223025
GGPS1,0.258307412,0.265746287
HNRNPU,0.005059837,0.004950566
AHCTF1,0.608059996,0.571555587
FMN2,0.327506594,0.355933165
KIF26B_ENSG00000162849,0.582588617,0.752115232
CNST,0.339400065,0.321417298
B3GALNT2,0.014302795,0.014918557
GNG4,0.401330251,0.414881759
COA6,0.157876624,0.162468283
ZNF692,0.043545915,0.04770144
TRAPPC12_ENSG00000171853,0.020433859,0.022224491
RPS7,0.644471627,0.619241818
ARV1,0.708178562,0.689540641
TOMM20,0.235975866,0.222030475
PGBD5,0.372972653,0.387166999
CATSPERE,0.118176762,0.12494071
ZBTB18,0.074644557,0.071608064
PLD5,0.084338195,0.106279932
RGS7,0.292936574,0.313513566
SLC35F3,0.023323063,0.045288228
SMYD3,0.609719472,0.664625084
EDARADD,0.08495753,0.084614294
MYT1L,0.838988577,0.845130151
OR2L13,0.151101459,0.135947091
RYR2,0.630261839,0.468841292
EFCAB2,0.745527769,0.803194005
COX20,0.264734271,0.255747676
LINC02774,0.147238263,0.139634209
LYPD9P,0.753026472,0.767485366
CHRM3-AS2,0.645595697,0.620574784
LINC01250,0.66017749,0.674135733
_ENSG00000236358,0.045018725,0.045644474
_ENSG00000236760,0.271410891,0.283697993
