geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
meanDE	0.216	0.182	0.239	0.045	0.463	0.348	0.45	0.147	0.113434331000118	6.6554011482131e-41	0.228298057721238
EE	0.412	0.492	0.532	0.713	0.476	0.489	0.485	0.731	0.403587123562398	3.98037408268877e-11	0.807936250239232
EE	0.836	0.875	0.526	0.218	0.92	0.813	0.58	0.079	0.741096971677702	5.42900754594822e-05	0.243311957557656
EE	0.648	0.508	0.59	0.869	0.246	0.229	0.159	0.483	0.184165705410345	2.09886190272092e-07	0.163310289751532
EE	0.181	0.235	0.234	0.395	0.187	0.315	0.275	0.391	0.130260032413094	9.04544757756666e-15	0.445442705045037
EE	0.4	0.227	0.386	0.217	0.851	0.461	0.794	0.352	0.67412274867357	0.00753665443004585	0.289751504495771
EE	0.079	0.099	0.069	0.281	0.115	0.155	0.173	0.384	0.294347492551608	1.13302844465434e-11	0.108240295006249
EE	0.592	0.651	0.568	0.584	0.554	0.677	0.529	0.932	0.581757067603597	1.90278296809078e-62	0.542524959542555
EE	0.027	0.028	0.051	0.099	0.107	0.062	0.166	0.184	0.341902706055515	1.11825513794247e-09	0.0359676117039678
varDE	0.657	0.611	0.574	0.758	0.434	0.354	0.35	0.572	0.557947932727687	2.02124995791104e-17	0.186808521861582
EE	0.121	0.068	0.142	0.178	0.439	0.265	0.337	0.511	0.502605921722648	6.76262415991311e-12	0.282233861525987
EE	0.648	0.846	0.695	0.724	0.438	0.572	0.452	0.92	0.311035210807742	3.14702107396617e-08	0.61808661135498
EE	0.977	0.93	0.899	0.256	0.628	0.533	0.588	0.252	0.410807117434194	2.91073692532907e-09	0.0794952596804003
EE	0.972	0.825	0.922	0.677	0.934	0.807	0.916	0.259	0.996069139118841	0.00276186083572381	0.111781726623923
EE	0.229	0.238	0.23	0.057	0.245	0.256	0.264	0.054	0.634639371695728	1.49935902626641e-06	0.159232163666826
EE	0.786	0.775	0.924	0.327	0.299	0.291	0.478	0.246	0.6251683969539	2.24256481331229e-09	0.0965717417148993
meanDE	0.486	0.508	0.545	0.481	0.689	0.707	0.685	0.657	0.31510554250613	2.44504682849039e-12	0.80720810646188
EE	0.151	0.212	0.135	0.252	0.06	0.091	0.069	0.394	0.128367614016064	1.78844254098884e-19	0.0205532829784819
EE	0.424	0.38	0.435	0.611	0.36	0.346	0.404	0.987	0.41476661816124	0.000370093133154529	0.138028794236878
EE	0.863	0.978	0.743	0.943	0.563	0.645	0.509	0.747	0.557310103749894	2.69252106949333e-12	0.0288914196153028
EE	0.853	0.675	0.877	0.948	0.443	0.452	0.545	0.872	0.521417435343331	0.0342428989701441	0.493902436337476
EE	0.444	0.492	0.65	0.674	0.454	0.621	0.803	0.912	0.754061183148287	1.55239402770278e-05	0.0247755029065663
varDE	0.716	0.382	0.593	0.355	0.474	0.273	0.398	0.264	0.93166219292654	1.06351681430422e-07	0.295118792932225
meanDE	0.803	0.923	0.994	0.948	0.77	0.858	0.878	0.842	0.479590072544621	2.10588590668531e-44	0.91600449028849
meanDE	0.869	0.662	0.882	0.462	0.568	0.452	0.69	0.373	0.955118518843123	0.0216943650354836	0.589907872749469
varDE	0.561	0.453	0.545	0.823	0.234	0.164	0.211	0.884	0.269842111220011	3.7789820669766e-113	0.200428872873289
EE	0.729	0.569	0.72	0.647	0.511	0.482	0.559	0.687	0.55824955826755	1.61159817351126e-09	0.257070200314325
EE	0.371	0.55	0.436	0.621	0.417	0.545	0.431	0.83	0.249892908286011	3.74781273805256e-28	0.672622481222684
EE	0.972	0.782	0.819	0.319	0.96	0.784	0.823	0.676	0.929408283781116	0.210282956625007	0.76755692382102
EE	0.151	0.179	0.173	0.095	0.101	0.098	0.148	0.016	0.0541868688624641	2.78450879423926e-26	0.139549255259498
varDE	0.927	0.726	0.059	0.041	0.855	0.699	0.031	0.042	0.691632077109005	1.26266633769022e-17	0.00111277872864452
meanDE	0.058	0.089	0.06	0.244	0.008	0.008	0.008	0.188	0.117100598140345	2.55891427300696e-34	0.00079041416383398
EE	0.325	0.251	0.526	0.873	0.525	0.491	0.645	0.919	0.724751912978651	1.5898301177417e-08	0.372673076907952
EE	0.164	0.111	0.136	0.172	0.254	0.217	0.222	0.017	0.148592885393674	2.08813636393949e-17	0.206240810297387
EE	0.124	0.203	0.148	0.038	0.076	0.102	0.074	0.212	0.0345330131631668	2.11478710046891e-32	0.0889719084907148
EE	0.518	0.291	0.648	0.97	0.507	0.423	0.594	0.97	0.363195303114117	2.25712462654017e-06	0.709096731834825
EE	0.637	0.82	0.73	0.753	0.49	0.652	0.68	0.458	0.580078601550528	5.18819674262488e-12	0.0335813869104461
EE	0.198	0.155	0.173	0.711	0.464	0.349	0.407	0.896	0.192720234825505	0.000128424711718625	0.161293107339614
EE	0.889	0.916	0.957	0.109	0.841	0.54	0.921	0.355	0.755169561936245	0.0372866231850647	0.189245877890534
EE	0.922	0.924	0.827	0.88	0.861	0.896	0.617	0.647	0.594009619504206	0.413333463646416	0.820937088595049
EE	0.484	0.38	0.456	0.476	0.211	0.263	0.163	0.756	0.41946287893811	1.38151519268906e-06	0.121173408477566
EE	0.103	0.124	0.127	0.107	0.401	0.378	0.388	0.363	0.416622394445617	2.64477705895454e-71	0.386918138854095
EE	0.993	0.982	0.999	0.966	0.701	0.612	0.767	0.929	0.619364803129151	7.2856602893827e-07	0.19921917287663
EE	0.072	0.085	0.095	0.116	0.126	0.089	0.135	0.066	0.361663980639138	1.29709224570565e-20	0.0653527903937574
EE	0.183	0.295	0.195	0.453	0.133	0.171	0.109	0.185	0.339460406620101	2.82127754068809e-05	0.0583900308428792
EE	0.958	0.904	0.941	0.233	0.844	0.716	0.981	0.284	0.943578303353241	0.0771831847031884	0.470056539730963
EE	0.456	0.557	0.335	0.435	0.676	0.896	0.542	0.219	0.453140167223404	8.56936389691232e-10	0.0320737366470722
EE	0.939	0.986	0.955	0.557	0.766	0.626	0.878	0.397	0.815350335521938	0.00487286254505605	0.246713811616668
EE	0.34	0.317	0.321	0.152	0.202	0.191	0.152	0.075	0.0496276593874004	2.80618084974728e-54	0.0575768206759665
EE	0.2	0.212	0.193	0.218	0.546	0.527	0.548	0.292	0.495773535859377	6.93814617940978e-08	0.349141187692223
EE	0.908	0.753	0.99	0.712	0.433	0.36	0.48	0.857	0.183573665848237	8.68281255148275e-20	0.239250442957425
EE	0.913	0.832	0.987	0.864	0.562	0.694	0.845	0.762	0.791013457468042	0.00153468396408415	0.425520864457622
meanDE	0.41	0.417	0.499	0.646	0.301	0.315	0.178	0.723	0.110543005341631	2.48157806819338e-08	0.0451975335249668
EE	0.96	0.919	0.844	0.712	0.489	0.495	0.433	0.838	0.335716502384395	0.0238996222781283	0.544243736591277
EE	0.629	0.465	0.472	0.301	0.593	0.471	0.471	0.574	0.462037487510653	6.30585407043393e-76	0.370469702814489
EE	0.551	0.365	0.477	0.494	0.94	0.91	0.93	0.896	0.829862257294297	0.00512626377953387	0.282971011561849
EE	0.946	0.911	0.777	0.537	0.678	0.621	0.726	0.453	0.83993869360485	0.000546502646043909	0.495632076043653
EE	0.313	0.389	0.229	0.525	0.437	0.629	0.33	0.564	0.531120778418719	1.1264614395541e-05	0.554607173880811
meanDE	0.001	0.001	0.14	0.732	0.008	0.008	0.128	0.979	0.0825767159316029	2.99459544827332e-11	0.0131871134540215
EE	0.674	0.502	0.683	0.658	0.754	0.657	0.626	0.587	0.775528320320742	1.98211005427714e-06	0.34244748391257
EE	0.851	0.664	0.83	0.583	0.505	0.424	0.444	0.339	0.400180856398698	6.16450873733687e-27	0.162156023159408
EE	0.191	0.228	0.304	0.347	0.115	0.173	0.237	0.233	0.166262164657675	1.07896706937659e-19	0.0570132472161601
EE	0.092	0.062	0.088	0.09	0.041	0.031	0.026	0.026	0.00463048969440527	6.94222953594224e-58	0.00653169602124132
EE	0.402	0.437	0.526	0.767	0.391	0.423	0.374	0.709	0.230893640475538	0.0015385664765539	0.874445303027492
meanDE	0.955	0.832	0.954	0.973	0.53	0.371	0.469	0.479	0.523242477147	1.980194997473e-14	0.609781483101872
EE	0.88	0.861	0.974	0.926	0.853	0.753	0.968	0.798	0.878910609546201	0.36884030755821	0.932784143019184
meanDE	0.791	0.934	0.848	0.24	0.371	0.544	0.352	0.287	0.322687931847723	5.46133577313097e-15	0.739678132514159
EE	0.928	0.85	0.915	0.595	0.308	0.277	0.295	0.184	0.222153593104308	1.67270453441916e-09	0.119891406861661
EE	0.541	0.702	0.511	0.627	0.961	0.823	0.896	0.959	0.948446158712048	0.000648368723813171	0.509169678377278
EE	0.229	0.289	0.23	0.459	0.078	0.1	0.098	0.188	0.0388616917425608	5.6518828099674e-91	0.00678467356689952
varDE	0.135	0.036	0.198	0.036	0.174	0.091	0.234	0.045	0.044383202150505	2.83871718767708e-36	0.0976215952609504
EE	0.562	0.46	0.504	0.153	0.783	0.466	0.707	0.059	0.273314461740369	5.59350047822497e-11	0.513027441806935
EE	0.886	0.785	0.472	0.257	0.688	0.625	0.465	0.433	0.77631472201976	5.81921897298162e-07	0.00350275698497234
EE	0.567	0.43	0.612	0.773	0.74	0.758	0.873	0.622	0.745515146181223	0.100081209327636	0.352057255197193
varDE	0.283	0.083	0.252	0.142	0.28	0.049	0.242	0.052	0.582563683180775	0.000120480730155141	0.0840326379880463
varDE	0.604	0.59	0.611	0.401	0.301	0.445	0.331	0.277	0.1154423245939	1.22008002539693e-56	0.0319762580171215
EE	0.688	0.857	0.578	0.602	0.996	0.875	0.947	0.957	0.850429692832839	5.92943844831554e-05	0.0805960754403359
EE	0.228	0.246	0.239	0.071	0.391	0.415	0.355	0.207	0.152344997558818	4.73827283298378e-28	0.463730906396439
meanDE	0.023	0.032	0.031	0.054	0.038	0.008	0.073	0.065	0.0632104349372554	2.68714384374668e-76	0.0168664710495276
EE	0.814	0.879	0.732	0.409	0.75	0.77	0.541	0.241	0.449821162665246	0.00631589310785426	0.684328552500797
EE	0.269	0.203	0.359	0.391	0.496	0.411	0.611	0.674	0.573538745007634	6.37837307982837e-57	0.573394139387025
varDE	0.113	0.137	0.111	0.978	0.381	0.333	0.36	1	0.42390074675958	3.39395678412114e-10	0.0985386261500496
EE	0.587	0.537	0.64	0.64	0.147	0.166	0.151	0.226	0.102517621542486	3.48984815798509e-49	0.0436485391275736
EE	0.563	0.672	0.626	0.959	0.989	0.791	0.844	0.834	0.669676940098587	0.00111398438050996	0.365161303098984
EE	0.025	0.019	0.035	0.29	0.157	0.092	0.092	0.288	0.0399707185427363	8.79216716473597e-23	0.020248616051219
EE	0.369	0.288	0.427	0.413	0.337	0.293	0.354	0.395	0.289260110926581	7.03104233442206e-10	0.545430159086779
EE	0.139	0.099	0.134	0.094	0.272	0.176	0.293	0.183	0.134744487318076	2.11612026654331e-10	0.190116560737159
EE	0.786	0.829	0.783	0.525	0.911	1	0.844	0.304	0.736928441783027	0.00247261998542409	0.43494032542953
varDE	0.357	0.217	0.225	0.694	0.833	0.637	0.715	0.977	0.427922250167136	5.09776965976881e-28	0.492107077472279
EE	0.313	0.294	0.298	0.391	0.108	0.036	0.084	0.246	0.268221490955992	2.6849710559475e-06	0.0362879289139235
EE	0.214	0.236	0.236	0.878	0.32	0.425	0.328	0.966	0.250230794401702	0.00504658632230175	0.734879407368564
meanDE	0.03	0.057	0.06	0.07	0.099	0.124	0.112	0.14	0.0986822971236881	3.8013931979238e-05	0.117800345388521
EE	0.101	0.09	0.117	0.354	0.195	0.207	0.206	0.808	0.42501000792265	1.61789792661038e-36	0.174772138575546
EE	0.998	0.995	0.85	0.925	0.783	0.819	0.805	0.898	0.534419844861763	6.71401696290041e-32	0.627354343895899
meanDE	0.023	0.063	0.03	0.392	0.068	0.1	0.096	0.449	0.0814711415006562	1.30771254124123e-34	0.0252208188026981
EE	0.745	0.461	0.474	0.495	0.954	0.814	0.82	0.829	0.831566229152791	6.40506304217621e-49	0.57880204367717
EE	0.913	0.802	0.893	0.384	0.897	0.99	0.945	0.474	0.821277361694424	8.36742791795837e-30	0.884341283021883
EE	0.799	0.798	0.802	0.319	0.637	0.639	0.638	0.206	0.510984579157227	0.000151498232154999	0.767311846168781
varDE	0.533	0.253	0.383	0.264	0.48	0.168	0.311	0.181	0.723530879814399	0.000116135804270068	0.682911734586362
EE	0.504	0.562	0.631	0.902	0.885	0.947	1	1	0.869448232155925	1.99369793395908e-11	0.744944713150199
EE	0.514	0.519	0.46	0.803	0.577	0.678	0.492	0.722	0.505559584574087	1.02204614260262e-12	0.193889203438863
EE	0.065	0.154	0.153	0.713	0.219	0.275	0.26	0.772	0.389454824537852	0.0170995571074088	0.539419547040971
EE	0.851	0.905	0.978	0.91	0.858	0.783	0.882	0.474	0.689415728044002	3.77343523378297e-06	0.399412234167063
varDE	0.227	0.189	0.471	0.225	0.241	0.2	0.488	0.123	0.448931225611148	1.36927677445564e-33	0.000117329330883611
EE	0.847	0.697	0.794	0.944	0.744	0.599	0.824	0.919	0.597545903297734	0.0661901464695522	0.430658017911716
EE	0.844	0.62	0.475	0.135	0.653	0.84	0.424	0.079	0.911683036213274	5.1206746890303e-05	0.14097826538882
EE	0.994	0.858	0.981	0.98	0.893	0.821	0.875	0.862	0.809200830400534	0.00308967764267781	0.852069320916019
EE	0.364	0.38	0.394	0.325	0.538	0.525	0.485	0.413	0.610231544014974	0.00714766969413813	0.452797471918229
EE	0.818	0.85	0.886	0.979	0.665	0.56	0.812	0.908	0.639689233448633	1.3399894105497e-06	0.161726006393949
EE	0.045	0.037	0.05	0.404	0.167	0.208	0.246	0.499	0.313891887444581	3.98016735727904e-110	0.213035478684732
EE	0.956	0.953	0.952	0.929	0.946	0.884	0.735	0.442	0.813231311864892	0.0567043563895947	0.616000779088291
EE	0.005	0.028	0.004	0.135	0.008	0.008	0.008	0.152	0.00126205508258854	1.53226009136874e-56	1.69138775784171e-05
EE	0.808	0.757	0.837	0.892	0.841	0.839	0.88	0.957	0.74843004864517	0.0288239532512079	0.926636020025676
varDE	0.302	0.246	0.231	0.058	0.26	0.249	0.248	0.338	0.306164734945824	6.29871147937834e-24	0.00898645632601957
EE	0.748	0.82	0.828	0.519	0.643	0.724	0.947	0.635	0.92229055069205	0.0165340342624054	0.520305529550555
EE	0.906	0.969	0.945	0.608	0.941	0.742	0.719	0.917	0.905067394567971	0.000562668265094358	0.364536949611366
meanDE	0.044	0.019	0.068	0.403	0.035	0.008	0.021	0.594	0.00154617690012492	6.16122902845145e-41	0.00285045122002744
EE	0.56	0.781	0.714	0.857	0.465	0.822	0.479	0.628	0.342842315777304	0.0436204765753581	0.665976275883037
EE	0.877	0.892	0.834	0.913	0.891	0.951	0.688	0.745	0.839326602936642	0.000443841350384864	0.33821751388034
EE	0.782	0.743	0.812	0.615	0.596	0.628	0.752	0.65	0.851141721082713	1.58487866839442e-06	0.0435869890236497
meanDE	0.123	0.104	0.076	0.183	0.183	0.162	0.144	0.213	0.0479441073743687	5.58218728478231e-69	0.062878084616721
meanDE	0.342	0.368	0.247	0.359	0.308	0.331	0.196	0.285	0.169101402296194	1.96419216533372e-115	0.0687648995936839
varDE	0.226	0.28	0.283	0.231	0.193	0.16	0.247	0.189	0.102128016756592	3.11980346966311e-29	0.0486367735344888
EE	0.873	0.917	0.953	0.813	0.769	0.978	0.953	0.799	0.861473537226403	0.355556496901754	0.837453964794715
varDE	0.708	0.511	0.917	0.752	0.694	0.656	0.839	0.767	0.613562365504357	1.29538292690562e-09	0.0135925353201461
EE	0.663	0.296	0.602	0.119	0.542	0.268	0.578	0.195	0.247291545806447	8.47181473552312e-14	0.349224419343104
EE	0.74	0.825	0.835	0.822	0.756	0.868	0.93	0.923	0.867586496828257	3.26447473590607e-05	0.386766083287208
EE	0.76	0.607	0.788	0.411	0.939	0.847	0.972	0.768	0.986037339124944	0.211624493669212	0.764551159905584
meanDE	0.734	0.669	0.87	0.853	0.858	0.913	0.818	0.314	0.961180599650218	1.66324963933672e-06	0.187891660053301
meanDE	0.215	0.26	0.254	0.417	0.15	0.22	0.162	0.469	0.127473799787672	3.86145507443985e-11	0.226432697679365
varDE	0.241	0.14	0.14	0.215	0.248	0.068	0.141	0.098	0.759279573289128	2.0132189719672e-19	0.0190094615572333
EE	0.269	0.226	0.222	0.031	0.108	0.161	0.072	0.041	0.0913447863555974	2.07439039022334e-16	0.00965209139091541
EE	0.738	0.609	0.673	0.715	0.931	0.926	0.859	0.984	0.945932677740034	0.000893978449481372	0.791538538969244
EE	0.91	0.943	0.857	0.797	0.84	0.962	0.846	0.889	0.930868097907423	0.000505385547351211	0.626287523392939
EE	0.583	0.76	0.503	0.617	0.619	0.88	0.613	0.553	0.47676235643086	7.30717581921409e-12	0.00120830604579197
EE	0.961	0.863	0.891	0.818	0.636	0.794	0.613	0.953	0.760224623546746	4.60918119560035e-08	0.39014853047102
EE	0.299	0.334	0.321	0.221	0.491	0.629	0.613	0.769	0.364036514228405	2.78166976157574e-07	0.309106960674533
EE	0.218	0.25	0.249	0.435	0.222	0.403	0.173	0.531	0.324253889104073	2.62571748921941e-18	0.0390443102863995
EE	0.314	0.318	0.362	0.394	0.192	0.19	0.178	0.298	0.153702889488084	9.31513973372899e-09	0.175898200738456
EE	0.665	0.607	0.77	0.66	0.789	0.74	0.975	0.844	0.756105244475741	0.489855510847063	0.968848910536749
EE	0.747	0.845	0.642	0.803	0.875	0.857	0.987	0.843	0.913163967385958	0.000823830140153702	0.912460214912371
EE	0.626	0.763	0.762	0.799	0.803	0.929	0.866	0.793	0.65385999378945	0.000361869027022187	0.276007029836747
EE	0.813	0.974	0.788	0.731	0.929	0.855	0.69	0.541	0.677812521135215	0.0236319853462331	0.782842383087722
varDE	0.34	0.255	0.263	0.273	0.41	0.231	0.283	0.207	0.0929931225976643	1.10163121615893e-97	0.0762541639146535
meanDE	0.865	0.681	0.715	0.355	0.842	0.697	0.723	0.244	0.794577028037675	3.08210026220497e-05	0.614861526464884
EE	0.868	0.809	0.917	0.938	0.837	0.797	0.8	0.844	0.986071164229194	4.48048244151533e-05	0.656808007890519
EE	0.698	0.521	0.702	0.514	0.216	0.244	0.252	0.492	0.187787564714367	9.13543467599755e-17	0.00977266973628969
EE	0.477	0.311	0.3	0.336	0.371	0.267	0.255	0.24	0.0794279516734319	2.36739072286221e-269	0.147586797263576
meanDE	0.194	0.08	0.18	0.251	0.217	0.125	0.2	0.162	0.0807701869020446	5.33687050666461e-24	0.341919291623336
meanDE	0.458	0.486	0.677	0.473	0.892	0.916	0.666	0.276	0.722728599037792	1.12788073113437e-07	0.0641694565943276
EE	0.345	0.522	0.402	0.502	0.711	0.925	0.915	0.659	0.710795819073564	0.170843571828448	0.898391047642021
EE	0.821	0.835	0.674	0.416	0.506	0.766	0.712	0.551	0.896648462480173	0.000258263868638323	0.057173614769457
EE	0.238	0.131	0.182	0.115	0.061	0.015	0.049	0.022	0.00497804363459302	4.14511541921007e-54	0.0107088538628189
EE	0.953	0.876	0.912	0.884	0.918	0.87	0.982	0.89	0.953201291953335	0.149084728256339	0.97180623313905
EE	0.084	0.111	0.09	0.168	0.164	0.159	0.2	0.489	0.216488444118712	2.77190014900997e-58	0.0461364355217323
EE	0.552	0.675	0.588	0.763	0.537	0.622	0.599	0.416	0.460171724500516	0.000644152349292388	0.699231453190849
varDE	0.022	0.029	0.062	0.26	0.042	0.034	0.08	0.239	0.00529593831422604	4.66631343590895e-38	0.00276620345467504
EE	0.014	0.005	0.005	0.008	0.029	0.017	0.029	0.008	9.84762864799104e-06	5.26936047342557e-257	3.61176601691802e-05
EE	0.242	0.269	0.315	0.495	0.123	0.159	0.148	0.361	0.157659596373037	2.75653825426401e-32	0.0451690737657144
varDE	0.212	0.058	0.137	0.179	0.288	0.078	0.252	0.304	0.438737862096957	1.38881560752694e-30	0.00143598862272787
varDE	0.672	0.659	0.453	0.369	0.522	0.481	0.286	0.266	0.372895726285136	1.90967603905093e-27	0.0765511078187689
EE	0.036	0.105	0.014	0.849	0.093	0.11	0.034	0.906	0.0312200980093998	1.85200250572155e-08	0.0301551651557587
EE	0.895	0.995	0.82	0.932	0.476	0.559	0.454	0.698	0.582270737520567	5.3944420365241e-10	0.122676531976174
EE	0.007	0.031	0.025	0.154	0.023	0.015	0.041	0.168	0.0245643406248343	1.06114258977178e-81	0.000375930722858579
EE	0.142	0.204	0.134	0.242	0.092	0.173	0.11	0.173	0.09270005226747	1.43381346530144e-181	0.0372638524765225
EE	0.223	0.249	0.266	0.346	0.159	0.258	0.181	0.342	0.233701827454261	3.06888972563635e-26	0.0583458940658829
EE	0.403	0.35	0.405	0.43	0.328	0.307	0.234	0.307	0.475193632239216	2.61280419445461e-08	0.216317578306484
EE	0.351	0.224	0.238	0.225	0.105	0.123	0.144	0.161	0.183735486703325	5.40837332567746e-220	0.0676648883287414
EE	0.085	0.109	0.029	0.47	0.094	0.11	0.064	0.232	0.0584787374407474	2.45676832637895e-17	0.0112743312675036
EE	0.72	0.552	0.618	0.177	0.285	0.187	0.249	0.041	0.00966643849560274	2.80330258562073e-68	0.058568429166317
EE	0.459	0.429	0.471	0.689	0.274	0.346	0.274	0.802	0.132761312410125	8.10853064108586e-33	0.211481440579903
EE	0.725	0.847	0.809	0.72	0.955	0.796	0.926	0.741	0.852998550242775	8.09547399860045e-05	0.515035364852286
meanDE	0.393	0.367	0.285	0.468	0.516	0.523	0.603	0.663	0.882240074704301	1.81329765305043e-06	0.175427956996134
EE	0.21	0.104	0.345	0.081	0.129	0.036	0.401	0.241	0.327516360725411	0.0807791705046899	0.418602676893923
EE	0.729	0.946	0.801	0.966	0.489	0.68	0.605	0.949	0.662606783884873	0.0660184604940467	0.624773623088727
meanDE	0.666	0.783	0.856	0.806	0.953	0.979	0.906	0.931	0.715421370871039	0.00433512254117753	0.137903223625046
EE	0.467	0.42	0.469	0.512	0.873	0.815	0.917	0.951	0.919790683598568	0.00250050136055508	0.863910026405869
EE	0.49	0.344	0.356	0.43	0.331	0.295	0.28	0.412	0.372018032460644	3.98187635366694e-15	0.118824121906713
EE	0.867	0.899	0.903	0.432	0.903	0.935	0.964	0.687	0.817101621316318	0.729321914283992	0.786406814427834
meanDE	0.878	0.987	0.837	0.93	0.719	0.856	0.803	0.821	0.8409110189796	4.25710166329143e-05	0.108632246241218
EE	0.315	0.275	0.325	0.322	0.608	0.454	0.548	0.316	0.452799358962553	7.11854894384242e-16	0.209856724607247
EE	0.065	0.092	0.056	0.625	0.008	0.008	0.008	0.654	0.00787010693372732	5.32800934498661e-225	0.000256604397876909
EE	0.211	0.187	0.208	0.046	0.2	0.189	0.176	0.025	0.0611074769955434	1.49327297214513e-51	0.144157190037271
EE	0.331	0.373	0.406	0.766	0.352	0.488	0.408	0.921	0.401893555342111	9.35938639152933e-05	0.580226776929264
EE	0.019	0.07	0.017	0.224	0.038	0.074	0.035	0.143	0.0583048572767806	2.53870160968674e-31	0.0044667938220063
varDE	0.171	0.157	0.148	0.285	0.067	0.048	0.053	0.119	0.190866712464559	3.17411121833643e-32	0.0155147590898883
EE	0.87	0.945	0.925	0.974	0.624	0.68	0.711	0.778	0.389773172258803	0.000225088243696604	0.444219030999466
EE	0.994	0.848	0.925	0.721	0.651	0.559	0.741	0.933	0.586680329863542	0.0622540343274418	0.654965313743034
meanDE	0.647	0.823	0.814	0.341	0.46	0.708	0.467	0.693	0.326686316092353	6.25415721710225e-06	0.614076753541264
EE	0.614	0.677	0.674	0.583	0.571	0.66	0.475	0.641	0.381099973028785	0.0951490634345281	0.646856988272662
EE	0.246	0.276	0.278	0.795	0.299	0.354	0.308	0.949	0.205005870618222	5.46687052582031e-24	0.0311362666284235
EE	0.315	0.351	0.446	0.52	0.317	0.365	0.438	0.465	0.514410590044874	4.38591189145389e-17	0.0407000193513815
EE	0.173	0.172	0.247	0.225	0.176	0.158	0.068	0.058	0.0569963129307757	9.6763918229035e-06	0.230007898650628
EE	0.234	0.171	0.239	0.32	0.201	0.184	0.179	0.381	0.179345275899265	1.59635121242252e-09	0.645881361133123
EE	0.881	0.907	0.873	0.962	0.926	0.931	0.979	1	0.988954320520566	0.000102033222099741	0.84419481588531
EE	0.099	0.144	0.202	0.297	0.033	0.044	0.051	0.315	0.138223429876256	2.78280572593879e-17	0.0164384512729215
EE	0.398	0.199	0.49	0.121	0.844	0.374	0.924	0.201	0.476174908551158	9.47077862729826e-05	0.463051638251353
varDE	0.279	0.211	0.167	0.025	0.351	0.207	0.104	0.008	0.316529421830663	4.06045104283329e-32	0.00664579317555748
EE	0.4	0.411	0.365	0.073	0.519	0.593	0.644	0.008	0.295638120851948	7.58583008567953e-07	0.425863383064944
EE	0.098	0.061	0.095	0.326	0.07	0.024	0.102	0.361	0.176993693500789	1.29776971086045e-28	0.00674196577469275
EE	0.113	0.055	0.115	0.051	0.113	0.027	0.097	0.013	0.0461039628337276	3.66776864260272e-31	0.0679787077415001
EE	0.695	0.583	0.718	0.241	0.946	0.924	0.653	0.051	0.642030270323017	0.0596047226162707	0.667303867476196
EE	0.268	0.098	0.161	0.29	0.297	0.164	0.237	0.378	0.180937779075366	1.39167209537356e-09	0.133799174708526
